Year,Tic,EPS,Dividends,Net_Income,Price
2023,PEP,6.56,6839,9074,169.84
2014,PG,4.01,6658,11643,78.59
2015,PG,2.44,7028,7036,78.24
2016,PG,3.69,7181,10508,84.67
2017,PG,5.59,6989,15326,87.15
2018,PG,3.67,7057,9750,78.06
2019,PG,1.43,7256,3897,109.65
2020,PG,4.96,7551,13027,119.57
2021,PG,5.5,8020,14306,134.93
2022,PG,5.81,8514,14742,143.79
2023,PG,5.9,8742,14653,151.74
2014,TMO,4.71,240.8,1894.4,125.29
2015,TMO,4.92,240,1975.4,141.85
2016,TMO,5.09,237.2,2021.8,141.1
2017,TMO,5.59,238,2225,189.88
2018,TMO,7.24,274,2938,223.79
2019,TMO,9.17,304,3696,324.87
2020,TMO,15.96,350,6375,465.78
2021,TMO,19.46,410,7725,667.24
2022,TMO,17.63,471,6950,550.69
2023,TMO,15.45,541,5995,530.79
2014,UNH,5.7,1362,5619,101.09
2015,UNH,6.01,1786,5813,117.64
2016,UNH,7.25,2261,7017,160.04
2017,UNH,10.72,2773,10558,220.46
2018,UNH,12.19,3320,11986,249.12
2019,UNH,14.33,3932,13839,293.98
2020,UNH,16.03,4584,15403,350.68
2021,UNH,18.08,5280,17285,502.14
2022,UNH,21.18,5991,20120,530.18
2023,UNH,23.86,6761,22381,526.47
2013,WMT,4.88,6139,16022,74.68
2014,WMT,5.05,6185,16363,84.98
2015,WMT,4.57,6294,14694,66.36
2016,WMT,4.38,6216,13643,66.74
2017,WMT,3.28,6124,9862,106.6
2018,WMT,2.26,6102,6670,95.83
2019,WMT,5.19,6048,14881,114.49
2020,WMT,4.75,6116,13510,140.49
2021,WMT,4.87,6152,13673,139.81
2022,WMT,4.27,6114,11680,143.87
2014,MSFT,2.63,9271,22074,41.7
2015,MSFT,1.48,10063,12193,44.15
2016,MSFT,2.1,11329,16798,51.17
2017,MSFT,2.71,12040,21204,68.93
2018,MSFT,2.13,12917,16571,98.61
2019,MSFT,5.06,14103,39240,133.96
2020,MSFT,5.76,15483,44281,203.51
2021,MSFT,8.05,16871,61271,270.9
2022,MSFT,9.65,18552,72738,256.83
2023,MSFT,9.68,20226,72361,340.54
2013,ORCL,2.38,2178,10955,42.02
2014,ORCL,2.21,2255,9938,43.49
2015,ORCL,2.07,2541,8901,40.2
2016,ORCL,2.21,2631,9335,45.39
2017,ORCL,0.9,3140,3825,46.72
2018,ORCL,2.97,2932,11083,50.6
2019,ORCL,3.08,3070,10135,53.77
2020,ORCL,4.55,3063,13746,78.74
2021,ORCL,2.41,3457,6717,71.92
2022,ORCL,3.07,3668,8503,105.94
2014,ADBE,0.53,0,268.4,73.68
2015,ADBE,1.24,0,629.55,91.46
2016,ADBE,2.32,0,1168.78,102.81
2017,ADBE,3.38,0,1693.95,181.47
2018,ADBE,5.2,0,2590.77,250.89
2019,ADBE,6,0,2951.46,309.53
